source_name,region_or_scope,cancer_type,data_type,access_type,download_method,license_or_terms,patient_count_estimate,priority,use_in_project,status,notes
TCGA-LUAD / GDC,USA / TCGA,Lung adenocarcinoma,clinical; mutations; copy number; RNA-seq; methylation; miRNA; survival,Public open derived data,GDC portal/API or cBioPortal derived files,GDC public data terms,TCGA-LUAD cohort,VERY HIGH,"Baseline multi-omics patient cohort, survival, EGFR mutation profiling",To collect,Core public foundation for the digital twin.
cBioPortal TCGA-LUAD PanCancer Atlas,USA / TCGA processed,Lung adenocarcinoma,clinical; mutations; CNA; mRNA; case lists; survival,Public,cBioPortal API / study downloads,cBioPortal terms; original study terms,TCGA LUAD PanCancer Atlas,VERY HIGH,Fast practical access to clean LUAD clinical/genomic data,To collect,Useful for quick pipeline testing and harmonized tables.
CPTAC-LUAD,USA / CPTAC,Lung adenocarcinoma,proteomics; phosphoproteomics; mutation; CNA; RNA; clinical,Public / portal dependent,PDC / CPTAC / publications / cBioPortal when available,CPTAC/PDC terms,CPTAC LUAD discovery cohort,VERY HIGH,"Pathway activation, phosphoproteomic signaling, EGFR/PI3K/MAPK/mTOR activity",To collect,Most important for making the pathway map biologically stronger.
AACR Project GENIE public,International cancer centers,"Pan-cancer, filter NSCLC/LUAD",real-world clinical-grade genomics; clinical metadata,Public with Synapse/GENIE terms,Synapse / cBioPortal GENIE study,GENIE data-use terms,Large international release,VERY HIGH,"Global mutation diversity, EGFR co-mutation landscape, real-world validation",Manual access needed,May require Synapse login/terms acceptance; do not bypass access rules.
AACR GENIE BPC NSCLC v2.0-public,"International / MSKCC, DFCI, VICC, UHN",NSCLC,clinico-genomic; treatment/outcome-oriented real-world data,Public with terms,GENIE BPC access / Synapse / official package,GENIE BPC terms,1846 NSCLC patients,VERY HIGH,Real-world NSCLC validation and treatment context,Manual access needed,Do not treat as automatically open-download without accepting terms.
CIViC,Global open knowledgebase,Pan-cancer,variant evidence; sensitivity; resistance; prognostic; diagnostic; citations,Open,CIViC API/download,Open CIViC terms,Not patient cohort,VERY HIGH,"Evidence audit, variant interpretation, treatment support",To collect,Key open alternative/complement to OncoKB while API token is unavailable.
Cancer Genome Interpreter / CGI,Global knowledgebase/tool,Pan-cancer,oncogenicity; driver interpretation; drug response biomarkers,Public tool / downloadable resources depend on terms,CGI website/resources,CGI terms,Not patient cohort,HIGH,Driver/actionability support and oncogenicity curation,To collect/manual,"Use as knowledge layer, not as direct patient outcome data."
DGIdb,Global drug-gene interaction DB,Pan-cancer / pan-disease,drug-gene interactions,Open,DGIdb API/download,DGIdb terms,Not patient cohort,MEDIUM,Drug-target support only,To collect,Do not use alone as clinical evidence.
DepMap / CCLE / PRISM / GDSC,Cell line drug response,"Cancer cell lines, filter lung/EGFR",drug response; expression; mutations; dependencies,Public depending resource,DepMap portal / GDSC downloads,Resource-specific terms,"Cell lines, not patients",PHASE 2B,"Mechanistic drug response support, not direct clinical prediction",Later,Keep separate from clinical patient cohorts.
TCIA TCGA-LUAD / CPTAC-LUAD imaging,Radiology/pathology imaging,LUAD,radiology imaging; possible pathology/radiomics support,Public / TCIA terms,TCIA NBIA tools/manual,TCIA terms,Collection dependent,LATER,Future imaging/radiology digital twin extension,Later,Not required for current treatment-ranking upgrade.
Korean NSCLC multiomics study,Korea / Asian EGFR-rich context,NSCLC/LUAD/LSCC,multiomics; clinical; molecular; proteogenomic depending availability,Publication / supplementary / controlled depending files,Publication supplementary / repositories,Publication/resource-specific terms,229 Korean NSCLC + previous cohorts in study context,HIGH AFTER CORE,Asian EGFR mutation context and external diversity,To investigate,Use only files that are legally downloadable and clearly documented.
